"Transaction","Item","period_day","weekday_weekend","Price","TotalNumber","Gender","Payment","Nationality","Time","Date","Age"
1,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","09:58","10/30/2016",21
2,"Scandinavian","morning","weekend",39.34,2,"Male","Credit card","Vietnamese","10:05","10/30/2016",27
2,"Scandinavian","morning","weekend",39.34,2,"Male","Credit card","Vietnamese","10:05","10/30/2016",27
3,"Hot chocolate","morning","weekend",20.12,2,"Male","Credit card","Vietnamese","10:07","10/30/2016",24
3,"Jam","morning","weekend",45.27,1,"Male","Credit card","Vietnamese","10:07","10/30/2016",24
3,"Cookies","morning","weekend",5.51,4,"Male","Credit card","Vietnamese","10:07","10/30/2016",24
4,"Muffin","morning","weekend",7.18,4,"Male","Credit card","Vietnamese","10:08","10/30/2016",25
5,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","10:13","10/30/2016",16
5,"Pastry","morning","weekend",14.94,3,"Male","Credit card","Vietnamese","10:13","10/30/2016",16
5,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","10:13","10/30/2016",16
6,"Medialuna","morning","weekend",43.23,1,"female","Online Wallet","American","10:16","10/30/2016",23
6,"Pastry","morning","weekend",14.94,3,"female","Online Wallet","American","10:16","10/30/2016",23
6,"Muffin","morning","weekend",7.18,4,"female","Online Wallet","American","10:16","10/30/2016",23
7,"Medialuna","morning","weekend",43.23,1,"Male","Credit card","Vietnamese","10:19","10/30/2016",23
7,"Pastry","morning","weekend",14.94,3,"Male","Credit card","Vietnamese","10:19","10/30/2016",23
7,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","10:19","10/30/2016",23
7,"Tea","morning","weekend",26.05,2,"Male","Credit card","Vietnamese","10:19","10/30/2016",23
8,"Pastry","morning","weekend",14.94,3,"Male","Online Wallet","American","10:20","10/30/2016",18
8,"Bread","morning","weekend",1.61,4,"Male","Online Wallet","American","10:20","10/30/2016",18
9,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","10:21","10/30/2016",18
9,"Muffin","morning","weekend",7.18,4,"Male","Credit card","Vietnamese","10:21","10/30/2016",18
10,"Scandinavian","morning","weekend",39.34,2,"Male","Credit card","Vietnamese","10:25","10/30/2016",25
10,"Medialuna","morning","weekend",43.23,1,"Male","Credit card","Vietnamese","10:25","10/30/2016",25
11,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","10:27","10/30/2016",27
11,"Medialuna","morning","weekend",43.23,1,"Male","Credit card","Vietnamese","10:27","10/30/2016",27
11,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","10:27","10/30/2016",27
12,"Jam","morning","weekend",45.27,1,"Male","Credit card","Vietnamese","10:30","10/30/2016",19
12,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","10:30","10/30/2016",19
12,"Tartine","morning","weekend",20.11,2,"Male","Credit card","Vietnamese","10:30","10/30/2016",19
12,"Pastry","morning","weekend",14.94,3,"Male","Credit card","Vietnamese","10:30","10/30/2016",19
12,"Tea","morning","weekend",26.05,2,"Male","Credit card","Vietnamese","10:30","10/30/2016",19
13,"Basket","morning","weekend",24.84,2,"Male","Cash","Germany","10:31","10/30/2016",29
13,"Bread","morning","weekend",1.61,4,"Male","Cash","Germany","10:31","10/30/2016",29
13,"Coffee","morning","weekend",19.73,3,"Male","Cash","Germany","10:31","10/30/2016",29
14,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","10:32","10/30/2016",21
14,"Medialuna","morning","weekend",43.23,1,"Male","Credit card","Vietnamese","10:32","10/30/2016",21
14,"Pastry","morning","weekend",14.94,3,"Male","Credit card","Vietnamese","10:32","10/30/2016",21
15,"Mineral water","morning","weekend",28.31,2,"female","Cash","American","10:34","10/30/2016",22
15,"Scandinavian","morning","weekend",39.34,2,"female","Cash","American","10:34","10/30/2016",22
16,"Bread","morning","weekend",1.61,4,"female","Cash","Korean","10:37","10/30/2016",18
16,"Medialuna","morning","weekend",43.23,1,"female","Cash","Korean","10:37","10/30/2016",18
16,"Coffee","morning","weekend",19.73,3,"female","Cash","Korean","10:37","10/30/2016",18
17,"Hot chocolate","morning","weekend",20.12,2,"Male","Credit card","Vietnamese","10:38","10/30/2016",16
18,"Farm House","morning","weekend",40.82,1,"Male","Credit card","Vietnamese","10:41","10/30/2016",30
19,"Farm House","morning","weekend",40.82,1,"Male","Credit card","Vietnamese","10:43","10/30/2016",30
19,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","10:43","10/30/2016",30
20,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","10:45","10/30/2016",21
20,"Medialuna","morning","weekend",43.23,1,"Male","Credit card","Vietnamese","10:45","10/30/2016",21
21,"Coffee","morning","weekend",19.73,3,"female","Cash","Germany","10:49","10/30/2016",23
21,"Coffee","morning","weekend",19.73,3,"female","Cash","Germany","10:49","10/30/2016",23
21,"Medialuna","morning","weekend",43.23,1,"female","Cash","Germany","10:49","10/30/2016",23
21,"Bread","morning","weekend",1.61,4,"female","Cash","Germany","10:49","10/30/2016",23
22,"Jam","morning","weekend",45.27,1,"Male","Credit card","Vietnamese","10:52","10/30/2016",29
23,"Scandinavian","morning","weekend",39.34,2,"Male","Credit card","Vietnamese","10:53","10/30/2016",25
23,"Muffin","morning","weekend",7.18,4,"Male","Credit card","Vietnamese","10:53","10/30/2016",25
24,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","10:54","10/30/2016",19
25,"Scandinavian","morning","weekend",39.34,2,"Male","Credit card","Vietnamese","10:55","10/30/2016",19
26,"Fudge","morning","weekend",32.91,2,"Male","Credit card","Vietnamese","10:56","10/30/2016",27
27,"Scandinavian","morning","weekend",39.34,2,"Male","Credit card","Vietnamese","11:02","10/30/2016",26
28,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","11:03","10/30/2016",29
28,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","11:03","10/30/2016",29
29,"Bread","morning","weekend",1.61,4,"Male","Credit card","Vietnamese","11:05","10/30/2016",21
29,"Jam","morning","weekend",45.27,1,"Male","Credit card","Vietnamese","11:05","10/30/2016",21
30,"Bread","morning","weekend",1.61,4,"Male","Online Wallet","Germany","11:07","10/30/2016",20
31,"Basket","morning","weekend",24.84,2,"Male","Credit card","Vietnamese","11:12","10/30/2016",19
32,"Scandinavian","morning","weekend",39.34,2,"Male","Credit card","Vietnamese","11:16","10/30/2016",30
32,"Muffin","morning","weekend",7.18,4,"Male","Credit card","Vietnamese","11:16","10/30/2016",30
33,"Coffee","morning","weekend",19.73,3,"Male","Credit card","Vietnamese","11:22","10/30/2016",24
