"Transaction","Item","period_day","weekday_weekend","Price","TotalNumber","Gender","Payment","Nationality","Age"
1,1,1,1,1.61,4,1,1,1,21
2,2,1,1,39.34,2,1,1,1,27
2,2,1,1,39.34,2,1,1,1,27
3,3,1,1,20.12,2,1,1,1,24
3,4,1,1,45.27,1,1,1,1,24
3,5,1,1,5.51,4,1,1,1,24
4,6,1,1,7.18,4,1,1,1,25
5,7,1,1,19.73,3,1,1,1,16
5,8,1,1,14.94,3,1,1,1,16
5,1,1,1,1.61,4,1,1,1,16
6,9,1,1,43.23,1,0,2,2,23
6,8,1,1,14.94,3,0,2,2,23
6,6,1,1,7.18,4,0,2,2,23
7,9,1,1,43.23,1,1,1,1,23
7,8,1,1,14.94,3,1,1,1,23
7,7,1,1,19.73,3,1,1,1,23
7,10,1,1,26.05,2,1,1,1,23
8,8,1,1,14.94,3,1,2,2,18
8,1,1,1,1.61,4,1,2,2,18
9,1,1,1,1.61,4,1,1,1,18
9,6,1,1,7.18,4,1,1,1,18
10,2,1,1,39.34,2,1,1,1,25
10,9,1,1,43.23,1,1,1,1,25
11,1,1,1,1.61,4,1,1,1,27
11,9,1,1,43.23,1,1,1,1,27
11,1,1,1,1.61,4,1,1,1,27
12,4,1,1,45.27,1,1,1,1,19
12,7,1,1,19.73,3,1,1,1,19
12,11,1,1,20.11,2,1,1,1,19
12,8,1,1,14.94,3,1,1,1,19
12,10,1,1,26.05,2,1,1,1,19
13,12,1,1,24.84,2,1,3,3,29
13,1,1,1,1.61,4,1,3,3,29
13,7,1,1,19.73,3,1,3,3,29
14,1,1,1,1.61,4,1,1,1,21
14,9,1,1,43.23,1,1,1,1,21
14,8,1,1,14.94,3,1,1,1,21
15,13,1,1,28.31,2,0,3,2,22
15,2,1,1,39.34,2,0,3,2,22
16,1,1,1,1.61,4,0,3,4,18
16,9,1,1,43.23,1,0,3,4,18
16,7,1,1,19.73,3,0,3,4,18
17,3,1,1,20.12,2,1,1,1,16
18,14,1,1,40.82,1,1,1,1,30
19,14,1,1,40.82,1,1,1,1,30
19,1,1,1,1.61,4,1,1,1,30
20,1,1,1,1.61,4,1,1,1,21
20,9,1,1,43.23,1,1,1,1,21
21,7,1,1,19.73,3,0,3,3,23
21,7,1,1,19.73,3,0,3,3,23
21,9,1,1,43.23,1,0,3,3,23
21,1,1,1,1.61,4,0,3,3,23
22,4,1,1,45.27,1,1,1,1,29
23,2,1,1,39.34,2,1,1,1,25
23,6,1,1,7.18,4,1,1,1,25
24,1,1,1,1.61,4,1,1,1,19
25,2,1,1,39.34,2,1,1,1,19
26,15,1,1,32.91,2,1,1,1,27
27,2,1,1,39.34,2,1,1,1,26
28,7,1,1,19.73,3,1,1,1,29
28,1,1,1,1.61,4,1,1,1,29
29,1,1,1,1.61,4,1,1,1,21
29,4,1,1,45.27,1,1,1,1,21
30,1,1,1,1.61,4,1,2,3,20
31,12,1,1,24.84,2,1,1,1,19
32,2,1,1,39.34,2,1,1,1,30
32,6,1,1,7.18,4,1,1,1,30
33,7,1,1,19.73,3,1,1,1,24
34,7,1,1,19.73,3,1,1,1,22
34,6,1,1,7.18,4,1,1,1,22
35,6,1,1,7.18,4,1,1,1,20
35,2,1,1,39.34,2,1,1,1,20
36,10,1,1,26.05,2,1,1,1,30
36,1,1,1,1.61,4,1,1,1,30
37,7,1,1,19.73,3,0,2,2,21
37,1,1,1,1.61,4,0,2,2,21
38,1,1,1,1.61,4,1,1,1,18
38,10,1,1,26.05,2,1,1,1,18
39,2,1,1,39.34,2,0,2,2,21
40,16,1,1,28.3,2,1,1,1,26
40,11,1,1,20.11,2,1,1,1,26
40,7,1,1,19.73,3,1,1,1,26
40,6,1,1,7.18,4,1,1,1,26
41,2,1,1,39.34,2,1,1,1,20
42,1,1,1,1.61,4,0,2,2,29
42,10,1,1,26.05,2,0,2,2,29
43,2,0,1,39.34,2,1,1,1,19
43,15,0,1,32.91,2,1,1,1,19
44,7,0,1,19.73,3,1,1,1,24
44,9,0,1,43.23,1,1,1,1,24
45,7,0,1,19.73,3,1,3,2,16
45,3,0,1,20.12,2,1,3,2,16
45,9,0,1,43.23,1,1,3,2,16
46,7,0,1,19.73,3,0,3,2,20
47,17,0,1,8.21,4,1,1,1,16
47,16,0,1,28.3,2,1,1,1,16
47,1,0,1,1.61,4,1,1,1,16
47,6,0,1,7.18,4,1,1,1,16
47,4,0,1,45.27,1,1,1,1,16
48,7,0,1,19.73,3,1,1,1,28
49,7,0,1,19.73,3,1,3,4,29
49,7,0,1,19.73,3,1,3,4,29
49,9,0,1,43.23,1,1,3,4,29
50,1,0,1,1.61,4,1,1,1,23
50,18,0,1,7.85,4,1,1,1,23
51,1,0,1,1.61,4,1,1,1,24
52,2,0,1,39.34,2,1,1,1,27
54,1,0,1,1.61,4,1,1,1,18
55,19,0,1,33.08,2,1,1,1,17
55,7,0,1,19.73,3,1,1,1,17
55,10,0,1,26.05,2,1,1,1,17
55,20,0,1,13.42,3,1,1,1,17
56,7,0,1,19.73,3,1,1,1,16
56,19,0,1,33.08,2,1,1,1,16
57,2,0,1,39.34,2,1,1,1,30
58,18,0,1,7.85,4,1,1,1,22
58,3,0,1,20.12,2,1,1,1,22
58,10,0,1,26.05,2,1,1,1,22
58,21,0,1,42.55,1,1,1,1,22
59,10,0,1,26.05,2,0,3,2,25
60,5,0,1,5.51,4,1,3,2,30
60,7,0,1,19.73,3,1,3,2,30
60,16,0,1,28.3,2,1,3,2,30
60,7,0,1,19.73,3,1,3,2,30
61,7,0,1,19.73,3,1,1,1,17
62,22,0,1,38.38,2,1,1,1,20
62,20,0,1,13.42,3,1,1,1,20
62,20,0,1,13.42,3,1,1,1,20
62,7,0,1,19.73,3,1,1,1,20
62,23,0,1,24.22,2,1,1,1,20
62,7,0,1,19.73,3,1,1,1,20
63,7,0,1,19.73,3,1,1,1,27
64,24,0,1,20.24,2,1,2,4,27
65,11,0,1,20.11,2,1,1,1,26
65,25,0,1,13.02,3,1,1,1,26
65,10,0,1,26.05,2,1,1,1,26
65,7,0,1,19.73,3,1,1,1,26
66,20,0,1,13.42,3,1,1,1,28
66,19,0,1,33.08,2,1,1,1,28
66,13,0,1,28.31,2,1,1,1,28
67,20,0,1,13.42,3,1,2,3,25
67,13,0,1,28.31,2,1,2,3,25
67,6,0,1,7.18,4,1,2,3,25
68,19,0,1,33.08,2,0,2,4,21
68,7,0,1,19.73,3,0,2,4,21
68,10,0,1,26.05,2,0,2,4,21
68,2,0,1,39.34,2,0,2,4,21
68,26,0,1,48.78,1,0,2,4,21
69,1,0,1,1.61,4,1,2,2,28
69,10,0,1,26.05,2,1,2,2,28
69,18,0,1,7.85,4,1,2,2,28
70,15,0,1,32.91,2,1,1,1,16
71,6,0,1,7.18,4,0,2,3,27
72,7,0,1,19.73,3,1,1,1,25
72,1,0,1,1.61,4,1,1,1,25
73,1,0,1,1.61,4,1,1,1,19
74,7,0,1,19.73,3,1,1,1,16
74,1,0,1,1.61,4,1,1,1,16
75,4,0,1,45.27,1,1,1,1,30
75,19,0,1,33.08,2,1,1,1,30
76,7,0,1,19.73,3,1,1,1,17
