"Transaction","total","OneItems","TwoItems","ThreeItems","FourItems","CashPay","CreditPay","OnlineWalletPay"
1,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
3,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
4,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
5,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
6,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
7,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
8,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
9,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
10,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
11,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
12,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
13,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
14,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
15,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
16,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
17,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
18,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
19,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
20,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
21,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
22,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
23,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
24,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
25,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
26,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
27,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
28,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
29,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
30,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
31,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
32,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
33,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
34,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
35,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
36,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
37,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
38,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
39,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
40,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
41,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
42,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
43,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
44,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
45,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
46,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
47,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
48,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
49,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
50,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
51,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
52,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
54,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
55,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
56,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
57,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
58,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
59,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
60,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
61,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
62,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
63,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
64,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
65,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
66,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
67,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
68,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
69,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
